type,layer,text,x,y,rotation,height
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797998,68005.63810534668,0.0,
MTEXT,0,{\Fisocp|c0;26%%D},738343.0205145086,68005.63810534692,0.0,
MTEXT,0,15,734843.129511367,67836.72877965237,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.5025471211,67836.72877965377,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287795,67836.72877965377,0.0,
MTEXT,0,{\Fisocp|c0;01},738743.5321996764,67836.72877965377,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074939,67836.72877965517,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788798,67836.72877965399,0.0,
MTEXT,0,{\Fisocp|c0;50},738343.0205145088,67836.72877965424,0.0,
MTEXT,0,17,734843.129511367,67498.91012826681,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.5025471211,67498.91012826821,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287795,67498.91012826821,0.0,
MTEXT,0,{\Fisocp|c0;01},738743.5321996764,67498.91012826821,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074939,67498.9101282696,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788798,67498.91012826843,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738343.0205145088,67498.91012826868,0.0,
MTEXT,0,16,734843.129511367,67667.8194539595,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.5025471211,67667.8194539609,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287795,67667.8194539609,0.0,
MTEXT,0,{\Fisocp|c0;02},738743.5321996764,67667.8194539609,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074939,67667.8194539623,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788798,67667.81945396111,0.0,
MTEXT,0,{\Fisocp|c0;11%%D},738343.0205145088,67667.81945396136,0.0,
MTEXT,0,18,734843.1295113668,67330.00080257413,0.0,
MTEXT,0,{\Fisocp|c0;VERTICAL BEND},736713.1165456151,67330.00080257552,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,67330.00080257552,0.0,
MTEXT,0,{\Fisocp|c0;12},738743.5321996763,67330.00080257552,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,67330.00080257692,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,67330.00080257574,0.0,
MTEXT,0,{\Fisocp|c0;26%%D},738343.0205145087,67330.00080257599,0.0,
